Store,External Store ID,Country,Country Code,City,Order ID,Order UUID,Date Ordered,Time Customer Ordered,Rating Date,Rating Time,Rating Type,Rating Value,Rating Tags,Comment,Fulfillment Type,Order Channel,Eats Brand
"Tasty Bites - Downtown","ST-1001","United States","US","New York","8427364921","4f9a2b21-9a10-4a63-8b8c-3a1c5c14f5aa","2024-09-12","12:34","2024-09-12","13:15","Star","5","Tasty food;Fast delivery;Accurate order","Food was hot and delicious.","Delivery","iOS","Uber Eats"
"Curry House - Soho","ST-2007","United Kingdom","GB","London","9073421183","a2b1c3d4-5e6f-4a1b-9c2d-7e8f1a2b3c4d","2024-09-14","19:08","2024-09-14","19:55","Star","4","Great spices;Friendly service","Really flavorful curry and naan.","Delivery","Android","Uber Eats"
"Maple Deli - Yorkville","ST-3102","Canada","CA","Toronto","7345589920","9d8c7b6a-3e21-4f65-9ab2-1c3d5e7f8a9b","2024-09-15","11:22","2024-09-15","12:05","Star","5","Accurate order;Great packaging","Exactly as ordered, well packed.","Pickup","Web","Uber Eats"
"Sumo Sushi - CBD","ST-4110","Australia","AU","Sydney","6623457812","c7f5e2a1-4b6d-4c9f-8e2a-5d6f7a8b9c0d","2024-09-16","18:41","2024-09-16","19:20","Star","3","Fresh ingredients;Long prep time","Tasty but waited longer than expected.","Delivery","iOS","Uber Eats"
"Le Baguette - Marais","ST-5204","France","FR","Paris","5590034811","1e2d3c4b-5a6f-47a1-8b9c-0d1e2f3a4b5c","2024-09-18","08:12","2024-09-18","08:40","Star","5","Great bread;Tasty food","Croissant and coffee were perfect.","Pickup","Android","Uber Eats"
"Pizzeria Roma - Centro","ST-6112","Spain","ES","Madrid","4482197754","2f3e4d5c-6b7a-4c1d-9e8f-1a2b3c4d5e6f","2024-09-19","21:07","2024-09-19","21:55","Star","2","Cold food;Late delivery","Pizza arrived cold and late.","Delivery","Web","Uber Eats"
"Burger Lab - Mission","ST-7201","United States","US","San Francisco","7182993302","3a4b5c6d-7e8f-4a1b-9c2d-3e4f5a6b7c8d","2024-09-20","13:28","2024-09-20","14:02","Star","4","Tasty food;Accurate order","Great burger, fries still crispy.","Delivery","iOS","Uber Eats"
"Falafel Spot - Shoreditch","ST-8303","United Kingdom","GB","London","5200348811","4b5c6d7e-8f9a-4b1c-8d2e-5f6a7b8c9d0e","2024-09-21","17:14","2024-09-21","18:00","Star","5","Tasty food;Friendly service","Best falafel wrap I've had.","Delivery","Web","Uber Eats"
"Pizza Plus - Loop","ST-9405","United States","US","Chicago","1003345599","5c6d7e8f-9a0b-41c2-9d3e-4f5a6b7c8d9e","2024-09-22","22:03","2024-09-22","22:40","Star","1","Wrong items;Poor packaging","Received the wrong pizza.","Delivery","Android","Uber Eats"
"Taco Loco - Centro","ST-1050","Mexico","MX","Mexico City","9033451221","6d7e8f9a-0b1c-42d3-8e4f-5a6b7c8d9e0f","2024-09-23","20:25","2024-09-23","21:10","Star","4","Tasty food;Good portion size","Tacos were delicious and filling.","Delivery","iOS","Uber Eats"
"Pasta Fresca - Navigli","ST-1166","Italy","IT","Milan","8349912207","7e8f9a0b-1c2d-43e4-9f5a-6b7c8d9e0f1a","2024-09-24","12:05","2024-09-24","12:45","Star","5","Tasty food;Great packaging","Pasta was fresh, still warm.","Pickup","Web","Uber Eats"
"Doner King - Mitte","ST-1277","Germany","DE","Berlin","7742200198","8f9a0b1c-2d3e-44f5-8a6b-7c8d9e0f1a2b","2024-09-25","23:10","2024-09-26","00:02","Star","3","Tasty food;Messy packaging","Good doner but wrap leaked.","Delivery","Android","Uber Eats"
"Bagel Bros - Downtown","ST-1388","United States","US","Boston","6629901107","9a0b1c2d-3e4f-45a6-8b7c-9d0e1f2a3b4c","2024-09-26","09:11","2024-09-26","09:40","Star","5","Accurate order;Great packaging","Bagels were fresh and neatly packed.","Pickup","iOS","Uber Eats"
"BBQ Pit - South Bank","ST-1490","Australia","AU","Brisbane","5520031110","0b1c2d3e-4f5a-46b7-9c8d-0e1f2a3b4c5d","2024-09-27","18:03","2024-09-27","18:48","Star","2","Cold food;Long prep time","Ribs were cold by arrival.","Delivery","Web","Uber Eats"
"Souvlaki Hub - Plaka","ST-1502","Greece","GR","Athens","4492001188","1c2d3e4f-5a6b-47c8-8d9e-1f2a3b4c5d6e","2024-09-28","13:17","2024-09-28","13:50","Star","4","Tasty food;Accurate order","Very good gyro and fries.","Delivery","Android","Uber Eats"
"Pierogi Place - Old Town","ST-1611","Poland","PL","Warsaw","3399100721","2d3e4f5a-6b7c-48d9-9e0f-2a3b4c5d6e7f","2024-09-29","16:45","2024-09-29","17:20","Star","5","Tasty food;Great packaging","Pierogi were excellent.","Pickup","Web","Uber Eats"
"Tapas y Más - Eixample","ST-1723","Spain","ES","Barcelona","2299911770","3e4f5a6b-7c8d-49e0-8f1a-3b4c5d6e7f8a","2024-09-30","21:30","2024-09-30","22:05","Star","4","Tasty food;Fast delivery","Tapas were great, quick delivery.","Delivery","iOS","Uber Eats"
"Croissant Corner - Opéra","ST-1835","France","FR","Paris","1187723450","4f5a6b7c-8d9e-4a01-9b2c-4c5d6e7f8a9b","2024-10-01","07:55","2024-10-01","08:10","Star","5","Great bread;Accurate order","Fresh croissant, perfect start.","Pickup","Android","Uber Eats"
"Schnitzel Haus - Altstadt","ST-1947","Austria","AT","Vienna","9900211455","5a6b7c8d-9e0f-4b12-8c3d-5d6e7f8a9b0c","2024-10-02","18:12","2024-10-02","18:55","Star","3","Good portion size;Bland taste","Large portion but needed seasoning.","Delivery","Web","Uber Eats"
"Kebab House - City Centre","ST-2059","Ireland","IE","Dublin","8811442209","6b7c8d9e-0f1a-4c23-9d4e-6e7f8a9b0c1d","2024-10-03","23:47","2024-10-04","00:20","Star","2","Wrong items;Missing items","Two sauces and pita missing.","Delivery","iOS","Uber Eats"
"Burger Lab - Embarcadero","ST-7210","United States","US","San Francisco","7283911140","7c8d9e0f-1a2b-4d34-8e5f-7f8a9b0c1d2e","2024-10-03","12:08","2024-10-03","12:42","Star","5","Tasty food;Accurate order","Perfectly cooked burger.","Pickup","Web","Uber Eats"
"Noodle Bar - Central","ST-8801","Hong Kong","HK","Hong Kong","7720193359","8d9e0f1a-2b3c-4e45-9f60-8a9b0c1d2e3f","2024-10-04","19:33","2024-10-04","20:05","Star","4","Tasty broth;Fast delivery","Noodles hit the spot.","Delivery","Android","Uber Eats"
"Wok Express - Marina","ST-9902","Singapore","SG","Singapore","6672011881","9e0f1a2b-3c4d-4f56-8a71-9b0c1d2e3f4a","2024-10-05","18:22","2024-10-05","18:59","Star","5","Tasty food;Accurate order","Everything was fresh.","Delivery","iOS","Uber Eats"
"Pizzeria Roma - Sol","ST-6113","Spain","ES","Madrid","5510301190","0f1a2b3c-4d5e-4067-9b82-0c1d2e3f4a5b","2024-10-06","20:40","2024-10-06","21:20","Star","4","Great packaging;Tasty food","Arrived hot, nice box.","Delivery","Web","Uber Eats"
"Curry Leaf - CBD","ST-3001","New Zealand","NZ","Auckland","4401129981","1a2b3c4d-5e6f-4178-8c93-1d2e3f4a5b6c","2024-10-07","12:11","2024-10-07","12:55","Star","3","Spicy;Small portion","Good taste but portions small.","Pickup","Android","Uber Eats"
"Bento Go - Shibuya","ST-7750","Japan","JP","Tokyo","2208197711","2b3c4d5e-6f70-4289-9da4-2e3f4a5b6c7d","2024-10-08","13:02","2024-10-08","13:33","Star","5","Tasty food;Great packaging","Bento was excellent.","Pickup","Web","Uber Eats"
"Salad Box - Centrum","ST-4401","Netherlands","NL","Amsterdam","8831190074","3c4d5e6f-7081-439a-8eb5-3f4a5b6c7d8e","2024-10-08","11:28","2024-10-08","12:01","Star","4","Fresh ingredients;Accurate order","Crisp and fresh.","Delivery","iOS","Uber Eats"
"Burger Lab - Midtown","ST-7220","United States","US","New York","7733112045","4d5e6f70-8192-44ab-9fc6-4a5b6c7d8e9f","2024-10-09","18:45","2024-10-09","19:18","Star","2","Cold food;Late delivery","Took too long, fries cold.","Delivery","Android","Uber Eats"
"Pasta Fresca - Duomo","ST-1167","Italy","IT","Florence","6655400121","5e6f7081-92a3-45bc-8ad7-5b6c7d8e9f0a","2024-10-10","12:55","2024-10-10","13:32","Star","5","Tasty food;Accurate order","Excellent pasta.","Pickup","Web","Uber Eats"
"Falafel Spot - Camden","ST-8304","United Kingdom","GB","London","5599012377","6f708192-a3b4-46cd-9be8-6c7d8e9f0a1b","2024-10-10","20:12","2024-10-10","20:50","Star","4","Tasty food;Friendly service","Great late-night option.","Delivery","iOS","Uber Eats"
"Maple Deli - Annex","ST-3103","Canada","CA","Toronto","4488211006","708192a3-b4c5-47de-8cf9-7d8e9f0a1b2c","2024-10-11","10:22","2024-10-11","10:59","Star","5","Accurate order;Great packaging","Bagel and lox were perfect.","Pickup","Web","Uber Eats"
"Souvlaki Hub - Glyfada","ST-1503","Greece","GR","Athens","3398157722","8192a3b4-c5d6-48ef-9d0a-8e9f0a1b2c3d","2024-10-12","14:18","2024-10-12","14:55","Star","3","Tasty food;Messy packaging","Flavorful but a bit messy.","Delivery","Android","Uber Eats"
"Kebab House - Temple Bar","ST-2060","Ireland","IE","Dublin","2200099811","92a3b4c5-d6e7-490a-8b1c-9f0a1b2c3d4e","2024-10-12","23:59","2024-10-13","00:33","Star","4","Tasty food;Fast delivery","Hit the spot late night.","Delivery","iOS","Uber Eats"
"Tapas y Más - Born","ST-1724","Spain","ES","Barcelona","1187003422","a3b4c5d6-e7f8-4a0b-9c1d-0a1b2c3d4e5f","2024-10-13","21:02","2024-10-13","21:35","Star","5","Tasty food;Accurate order","Loved the patatas bravas.","Delivery","Web","Uber Eats"
"Croissant Corner - Bastille","ST-1836","France","FR","Paris","9903124455","b4c5d6e7-f8a9-4b1c-8d2e-1b2c3d4e5f60","2024-10-14","07:21","2024-10-14","07:40","Star","4","Great bread;Accurate order","Fresh and flaky.","Pickup","Android","Uber Eats"
"Wok Express - Orchard","ST-9903","Singapore","SG","Singapore","7788200111","c5d6e7f8-a9b0-4c2d-9e3f-2c3d4e5f6071","2024-10-15","18:05","2024-10-15","18:42","Star","5","Tasty food;Fast delivery","Super quick and tasty.","Delivery","iOS","Uber Eats"
